product_id,name,category,price,stock,brand,rating
1,HP Pavilion 15 Laptop,Laptop,52999,25,HP,4.3
2,Dell Inspiron 14 Laptop,Laptop,47500,18,Dell,4.4
3,Lenovo IdeaPad Slim 3,Laptop,41999,30,Lenovo,4.2
4,Apple MacBook Air M2,Laptop,114900,10,Apple,4.8
5,Asus VivoBook 15,Laptop,38999,22,Asus,4.1
6,HP Spectre x360 14,Laptop,149900,8,HP,4.7
7,Dell XPS 15 OLED,Laptop,189900,5,Dell,4.8
8,Lenovo ThinkPad E14,Laptop,68999,14,Lenovo,4.5
9,Acer Aspire 5,Laptop,37999,35,Acer,4.1
10,Asus ROG Strix G15,Laptop,94999,12,Asus,4.6
11,MSI Thin GF63,Laptop,62999,18,MSI,4.3
12,HP Victus 16 Gaming Laptop,Laptop,74999,15,HP,4.4
13,Dell G15 Gaming Laptop,Laptop,79999,10,Dell,4.5
14,Lenovo Legion 5 Pro,Laptop,104999,8,Lenovo,4.7
15,Apple MacBook Pro 14 M3,Laptop,194900,6,Apple,4.9
16,Asus ZenBook 14 OLED,Laptop,89999,11,Asus,4.6
17,Microsoft Surface Laptop 5,Laptop,128990,7,Microsoft,4.5
18,HP EliteBook 840 G9,Laptop,96999,9,HP,4.4
19,Acer Nitro 5 Gaming,Laptop,67999,20,Acer,4.3
20,Lenovo Yoga Slim 7i,Laptop,82999,13,Lenovo,4.5
21,Samsung Galaxy Book3 Pro,Laptop,134990,7,Samsung,4.6
22,Razer Blade 15,Laptop,219999,4,Razer,4.7
23,HP Envy 13,Laptop,78999,16,HP,4.4
24,Dell Latitude 5540,Laptop,88999,11,Dell,4.3
25,Asus ProArt Studiobook 16,Laptop,159999,5,Asus,4.7
26,HP Pavilion Desktop TP01,Desktop,42999,15,HP,4.2
27,Dell OptiPlex 3000,Desktop,52999,12,Dell,4.3
28,Lenovo IdeaCentre 3,Desktop,38999,18,Lenovo,4.1
29,Apple Mac Mini M2,Desktop,69900,9,Apple,4.7
30,Asus ROG Strix GT35,Desktop,149999,6,Asus,4.6
31,HP Omen 45L Gaming Desktop,Desktop,129999,7,HP,4.5
32,Dell Inspiron 3020,Desktop,44999,14,Dell,4.2
33,Lenovo ThinkCentre M70q,Desktop,48999,10,Lenovo,4.3
34,Apple iMac 24 M3,Desktop,134900,5,Apple,4.8
