question|answer
What is your return policy?|You can return any product within 7 days of delivery as long as it is unused and in its original packaging.
Can you tell me what is your return policy?|You can return any product within 7 days of delivery as long as it is unused and in its original packaging.
Could you tell me what is your return policy?|You can return any product within 7 days of delivery as long as it is unused and in its original packaging.
Please tell me what is your return policy?|You can return any product within 7 days of delivery as long as it is unused and in its original packaging.
I want to know what is your return policy?|You can return any product within 7 days of delivery as long as it is unused and in its original packaging.
How long does delivery take?|Standard delivery takes 3 to 5 business days depending on your location.
Can you tell me how long does delivery take?|Standard delivery takes 3 to 5 business days depending on your location.
Could you tell me how long does delivery take?|Standard delivery takes 3 to 5 business days depending on your location.
Please tell me how long does delivery take?|Standard delivery takes 3 to 5 business days depending on your location.
I want to know how long does delivery take?|Standard delivery takes 3 to 5 business days depending on your location.
Do you offer refunds?|Yes we offer full refunds for eligible returns. Refunds are processed within 5 to 7 business days.
Can you tell me do you offer refunds?|Yes we offer full refunds for eligible returns. Refunds are processed within 5 to 7 business days.
Could you tell me do you offer refunds?|Yes we offer full refunds for eligible returns. Refunds are processed within 5 to 7 business days.
Please tell me do you offer refunds?|Yes we offer full refunds for eligible returns. Refunds are processed within 5 to 7 business days.
I want to know do you offer refunds?|Yes we offer full refunds for eligible returns. Refunds are processed within 5 to 7 business days.
How can I track my order?|You can track your order by visiting the Orders section in your account and clicking on Track Order.
Can you tell me how can i track my order?|You can track your order by visiting the Orders section in your account and clicking on Track Order.
Could you tell me how can i track my order?|You can track your order by visiting the Orders section in your account and clicking on Track Order.
Please tell me how can i track my order?|You can track your order by visiting the Orders section in your account and clicking on Track Order.
I want to know how can i track my order?|You can track your order by visiting the Orders section in your account and clicking on Track Order.
What payment methods do you accept?|We accept credit cards, debit cards, UPI, net banking, wallets, and cash on delivery.
Can you tell me what payment methods do you accept?|We accept credit cards, debit cards, UPI, net banking, wallets, and cash on delivery.
Could you tell me what payment methods do you accept?|We accept credit cards, debit cards, UPI, net banking, wallets, and cash on delivery.
Please tell me what payment methods do you accept?|We accept credit cards, debit cards, UPI, net banking, wallets, and cash on delivery.
I want to know what payment methods do you accept?|We accept credit cards, debit cards, UPI, net banking, wallets, and cash on delivery.
Can I cancel my order?|Yes you can cancel your order within 24 hours of placing it before it is shipped.
Can you tell me can i cancel my order?|Yes you can cancel your order within 24 hours of placing it before it is shipped.
Could you tell me can i cancel my order?|Yes you can cancel your order within 24 hours of placing it before it is shipped.
Please tell me can i cancel my order?|Yes you can cancel your order within 24 hours of placing it before it is shipped.
I want to know can i cancel my order?|Yes you can cancel your order within 24 hours of placing it before it is shipped.
How do I contact customer support?|You can reach our customer support via live chat, email at support@lumika.com, or call us at 1800-XXX-XXXX.
Can you tell me how do i contact customer support?|You can reach our customer support via live chat, email at support@lumika.com, or call us at 1800-XXX-XXXX.
Could you tell me how do i contact customer support?|You can reach our customer support via live chat, email at support@lumika.com, or call us at 1800-XXX-XXXX.
Please tell me how do i contact customer support?|You can reach our customer support via live chat, email at support@lumika.com, or call us at 1800-XXX-XXXX.
I want to know how do i contact customer support?|You can reach our customer support via live chat, email at support@lumika.com, or call us at 1800-XXX-XXXX.
What happens if I receive a damaged product?|If you receive a damaged product, please raise a complaint within 48 hours and we will arrange a replacement or refund.
Can you tell me what happens if i receive a damaged product?|If you receive a damaged product, please raise a complaint within 48 hours and we will arrange a replacement or refund.
Could you tell me what happens if i receive a damaged product?|If you receive a damaged product, please raise a complaint within 48 hours and we will arrange a replacement or refund.
Please tell me what happens if i receive a damaged product?|If you receive a damaged product, please raise a complaint within 48 hours and we will arrange a replacement or refund.
I want to know what happens if i receive a damaged product?|If you receive a damaged product, please raise a complaint within 48 hours and we will arrange a replacement or refund.
Is cash on delivery available?|Yes cash on delivery is available for select pin codes and orders below a certain value.
Can you tell me is cash on delivery available?|Yes cash on delivery is available for select pin codes and orders below a certain value.
Could you tell me is cash on delivery available?|Yes cash on delivery is available for select pin codes and orders below a certain value.
Please tell me is cash on delivery available?|Yes cash on delivery is available for select pin codes and orders below a certain value.
I want to know is cash on delivery available?|Yes cash on delivery is available for select pin codes and orders below a certain value.
How do I apply a coupon code?|During checkout, enter your coupon code in the promo code field and click Apply to get the discount.
Can you tell me how do i apply a coupon code?|During checkout, enter your coupon code in the promo code field and click Apply to get the discount.
Could you tell me how do i apply a coupon code?|During checkout, enter your coupon code in the promo code field and click Apply to get the discount.
Please tell me how do i apply a coupon code?|During checkout, enter your coupon code in the promo code field and click Apply to get the discount.
I want to know how do i apply a coupon code?|During checkout, enter your coupon code in the promo code field and click Apply to get the discount.
Can I exchange a product instead of returning it?|Yes exchanges are allowed within 7 days for the same product in a different size or color subject to availability.
Can you tell me can i exchange a product instead of returning it?|Yes exchanges are allowed within 7 days for the same product in a different size or color subject to availability.
Could you tell me can i exchange a product instead of returning it?|Yes exchanges are allowed within 7 days for the same product in a different size or color subject to availability.
Please tell me can i exchange a product instead of returning it?|Yes exchanges are allowed within 7 days for the same product in a different size or color subject to availability.
I want to know can i exchange a product instead of returning it?|Yes exchanges are allowed within 7 days for the same product in a different size or color subject to availability.
How do I update my delivery address?|Go to My Account then Addresses and click Edit to update your delivery address before the order is shipped.
Can you tell me how do i update my delivery address?|Go to My Account then Addresses and click Edit to update your delivery address before the order is shipped.
Could you tell me how do i update my delivery address?|Go to My Account then Addresses and click Edit to update your delivery address before the order is shipped.
Please tell me how do i update my delivery address?|Go to My Account then Addresses and click Edit to update your delivery address before the order is shipped.
I want to know how do i update my delivery address?|Go to My Account then Addresses and click Edit to update your delivery address before the order is shipped.
What is the minimum order value for free shipping?|Orders above a certain threshold qualify for free shipping. Check our shipping policy page for the latest value.
Can you tell me what is the minimum order value for free shipping?|Orders above a certain threshold qualify for free shipping. Check our shipping policy page for the latest value.
Could you tell me what is the minimum order value for free shipping?|Orders above a certain threshold qualify for free shipping. Check our shipping policy page for the latest value.
Please tell me what is the minimum order value for free shipping?|Orders above a certain threshold qualify for free shipping. Check our shipping policy page for the latest value.
I want to know what is the minimum order value for free shipping?|Orders above a certain threshold qualify for free shipping. Check our shipping policy page for the latest value.
How do I create an account?|Click on Sign Up on the homepage, enter your email, mobile number and create a password to register.
Can you tell me how do i create an account?|Click on Sign Up on the homepage, enter your email, mobile number and create a password to register.
Could you tell me how do i create an account?|Click on Sign Up on the homepage, enter your email, mobile number and create a password to register.
Please tell me how do i create an account?|Click on Sign Up on the homepage, enter your email, mobile number and create a password to register.
I want to know how do i create an account?|Click on Sign Up on the homepage, enter your email, mobile number and create a password to register.
I forgot my password. How can I reset it?|Click on Forgot Password on the login page and enter your registered email to receive a reset link.
Can you tell me i forgot my password. how can i reset it?|Click on Forgot Password on the login page and enter your registered email to receive a reset link.
Could you tell me i forgot my password. how can i reset it?|Click on Forgot Password on the login page and enter your registered email to receive a reset link.
Please tell me i forgot my password. how can i reset it?|Click on Forgot Password on the login page and enter your registered email to receive a reset link.
I want to know i forgot my password. how can i reset it?|Click on Forgot Password on the login page and enter your registered email to receive a reset link.
Can I order without creating an account?|Yes you can place an order as a guest but creating an account helps you track orders and save addresses.
Can you tell me can i order without creating an account?|Yes you can place an order as a guest but creating an account helps you track orders and save addresses.
Could you tell me can i order without creating an account?|Yes you can place an order as a guest but creating an account helps you track orders and save addresses.
Please tell me can i order without creating an account?|Yes you can place an order as a guest but creating an account helps you track orders and save addresses.
I want to know can i order without creating an account?|Yes you can place an order as a guest but creating an account helps you track orders and save addresses.
What is the return window for electronics?|Electronics can be returned within 5 days of delivery in original condition with all accessories and packaging.
